Date,Army Spr,Army Swrd,Army Axe,Army Scout,Army LC,Army HC,Army Ram,Army Cat,Army Kngt,Army Nbl,Location X,Location Y
4/14/2016 14:00,0,0,0,0,3,0,0,0,0,0,512,346
4/14/2016 13:57,0,0,0,0,3,0,0,0,0,0,512,369
4/14/2016 14:00,0,0,0,0,3,0,0,0,0,0,514,360
4/14/2016 14:00,0,0,0,0,3,0,0,0,0,0,514,359
4/14/2016 14:00,0,0,0,0,3,0,0,0,0,0,513,361
4/14/2016 14:00,0,0,0,0,3,0,0,0,0,0,513,360
4/14/2016 13:15,10,5,0,0,0,0,0,0,0,0,504,356
4/14/2016 13:15,10,5,0,0,0,0,0,0,0,0,505,356
4/14/2016 13:15,0,0,0,0,3,0,0,0,0,0,505,367
4/14/2016 13:15,0,0,0,0,3,0,0,0,0,0,506,353
4/14/2016 13:14,0,0,0,0,3,0,0,0,0,0,507,365
4/14/2016 13:14,0,0,0,0,3,0,0,0,0,0,511,360
4/14/2016 13:14,0,0,0,0,3,0,0,0,0,0,508,368
4/14/2016 13:14,0,0,0,0,3,0,0,0,0,0,511,351
4/14/2016 13:15,10,5,0,0,0,0,0,0,0,0,509,355
4/14/2016 13:15,10,5,0,0,0,0,0,0,0,0,509,354
4/14/2016 13:14,0,0,0,0,3,0,0,0,0,0,510,368
4/14/2016 13:14,0,0,0,0,3,0,0,0,0,0,508,370
4/14/2016 13:14,0,0,0,0,3,0,0,0,0,0,510,371
